rank,nome,avaliacao
589,Snowdonia,7.35
590,Zombicide: Green Horde,7.74
591,Formula D,7.01
592,Pax Renaissance,8.01
593,The Republic of Rome,7.54
594,Betrayal at House on the Hill,7.04
595,Planet Unknown,7.98
596,Time's Up!,7.29
597,One Night Ultimate Werewolf: Daybreak,7.33
598,Coloretto,6.98
599,Taluva,7.15
600,Undaunted: North Africa,7.87
601,Medici,7.16
602,Trains,7.14
603,Magic Maze,6.99
604,Cuba Libre,7.69
605,Earth Reborn,7.63
606,Fort,7.21
607,Crusaders: Thy Will Be Done,7.50
608,The Downfall of Pompeii,7.15
609,Summoner Wars,7.23
610,Lord of the Rings: The Confrontation,7.21
611,Shakespeare,7.43
612,Dead Reckoning,8.30
613,6 nimmt!,6.94
614,Mr. Jack,6.99
615,HeroQuest,7.17
616,Belfort,7.22
617,Kingdom Builder,6.95
618,Cacao,7.09
619,Dixit: Journey,7.40
620,Whitehall Mystery,7.57
621,Cuba,7.13
622,Shadows of Brimstone: Swamps of Death,8.03
623,Luna,7.30
624,Between Two Castles of Mad King Ludwig,7.27
625,Elder Sign,6.97
626,IKI,7.72
627,Escape: The Curse of the Temple,6.97
628,Torres,7.10
629,Exit: The Game – The Pharaoh's Tomb,7.19
630,Disney Villainous: Wicked to the Core,7.60
631,Shards of Infinity,7.51
632,Myrmes,7.27
633,Smash Up: Awesome Level 9000,7.23
634,Fury of Dracula (Second Edition),7.11
635,Yamataï,7.21
636,D-Day at Omaha Beach,8.30
637,Feudum,7.64
638,QE,7.43
639,Telestrations: 12 Player Party Pack,7.75
640,Thunderstone Advance: Towers of Ruin,7.35
641,Tokaido,6.96
642,Defenders of the Realm,7.28
643,Civilization: A New Dawn,7.28
644,ZhanGuo,7.57
645,Prêt-à-Porter,7.36
646,Arkwright,7.82
647,The Oracle of Delphi,7.29
648,Leaving Earth,7.75
649,Specter Ops,7.20
650,Unfathomable,7.67
651,Treasure Island,7.26
652,Wir sind das Volk!,7.83
653,Bus,7.58
654,Mexica,7.24
655,A Fake Artist Goes to New York,7.16
656,Ascension: Deckbuilding Game,7.04
657,Churchill,7.67
658,Tash-Kalar: Arena of Legends,7.16
659,Steampunk Rally,7.18
660,AuZtralia,7.38
661,Cribbage,7.08
662,Love Letter: Batman,7.26
663,Warhammer Quest: The Adventure Card Game,7.32
664,Endless Winter: Paleoamericans,8.00
665,Onirim (Second Edition),7.06
666,Imperium: Legends,7.90
667,Dragon Castle,7.15
668,Wallenstein,7.46
669,Merv: The Heart of the Silk Road,7.60
670,Vegas Showdown,7.16
671,Century: A New World,7.38
672,The Networks,7.18
673,Carcassonne: The Castle,7.10
674,BANG! The Dice Game,6.92
675,My Little Scythe,7.29
676,Advanced Squad Leader: Starter Kit #1,7.84
677,Foundations of Rome,8.07
678,Villagers,7.23
679,Century: Eastern Wonders,7.15
680,K2,7.03
681,Disney Villainous: Evil Comes Prepared,7.60
682,City of the Big Shoulders,7.80
683,Space Hulk: Death Angel – The Card Game,7.00
684,Ashes Reborn: Rise of the Phoenixborn,7.28
685,Disney Villainous,7.02
686,MicroMacro: Crime City – Full House,7.78
687,Etherfields,8.02
688,Yspahan,7.07
689,Shipyard,7.35
690,Oh My Goods!,7.00
691,Middle-Earth Quest,7.38
692,Between Two Cities,7.00
693,Trismegistus: The Ultimate Formula,7.62
694,The Estates,7.44
695,Coal Baron,7.28
696,Chronicles of Crime: 1400,7.83
697,Diplomacy,7.04
698,Trails of Tucana,7.43
699,Eminent Domain,7.00
700,Yellow & Yangtze,7.86
701,Marvel United: X-Men,8.24
702,Splendor: Marvel,7.64
703,Wits & Wagers,6.93
704,Up Front,7.88
705,New Frontiers,7.46
706,Empires: Age of Discovery,7.85
707,CO₂: Second Chance,7.58
708,Space Hulk,7.48
709,Reef,7.04
710,Cry Havoc,7.16
711,Arcadia Quest: Inferno,7.92
712,The Magnificent,7.57
713,Ex Libris,7.16
714,Caverna: Cave vs Cave,7.14
715,Crystal Palace,7.55
716,Saint Petersburg (Second Edition),7.47
717,The Duke,7.35
718,Kanagawa,7.06
719,Warhammer: Invasion,7.23
720,Blue Moon City,7.04
721,Super Motherload,7.36
722,Whistle Mountain,7.69
723,World Without End,7.24
724,Detective: City of Angels,7.93
725,Vast: The Crystal Caverns,7.14
726,Black Angel,7.32
727,Zombicide Season 2: Prison Outbreak,7.37
728,878 Vikings: Invasions of England,7.53
729,Deep Sea Adventure,6.94
730,1989: Dawn of Freedom,7.80
731,Rhino Hero: Super Battle,7.26
732,Exit: The Game – The Secret Lab,7.08
733,Blood on the Clocktower,8.22
734,King of New York,6.92
735,Finca,7.06
736,Blokus,6.86
737,Empire of the Sun,8.26
738,Zombicide: 2nd Edition,8.08
739,Dogs of War,7.52
740,"Heroes of Land, Air & Sea",7.63
741,The Great Wall,7.86
742,Panamax,7.31
743,Star Trek: Fleet Captains,7.49
744,Among the Stars,7.05
745,Ticket to Ride: Rails & Sails,7.42
746,FUSE,7.03
747,Railroad Ink: Blazing Red Edition,7.13
748,Sub Terra,7.38
749,New York Zoo,7.17
750,Project: ELITE,8.03
751,Dungeons & Dragons: The Legend of Drizzt Board Game,7.23
752,The Bloody Inn,7.04
753,The Shipwreck Arcana,7.48
754,Crown of Emara,7.42
755,Squad Leader,7.53
756,Perudo,6.91
757,Unlock!: Timeless Adventures,7.82
758,Unmatched: Little Red Riding Hood vs. Beowulf,8.30
759,Lords of Xidit,7.11
760,Ricochet Robots,7.02
761,Outlive,7.32
762,Fugitive,7.19
763,Yedo,7.37
764,Tribune: Primus Inter Pares,7.22
765,Tang Garden,7.43
766,Washington's War,7.62
767,Vasco da Gama,7.23
768,Menara,7.46
769,Jambo,7.00
770,The Pursuit of Happiness,7.18
771,Flamecraft,7.67
772,Can't Stop,6.87
773,Bloodborne: The Board Game,7.89
774,Summoner Wars: Alliances Master Set,8.07
775,Red7,6.89
776,One Deck Dungeon,7.00
777,"13 Days: The Cuban Missile Crisis, 1962",7.25
778,Not Alone,6.99
779,XCOM: The Board Game,7.02
780,Reef Encounter,7.14
781,Dice Hospital,7.16
782,Gentes,7.42
783,Combat Commander: Pacific,8.11
784,Dinosaur Island: Rawr 'n Write,7.84
785,Scoville,7.14
786,ZÈRTZ,7.27
787,Napoleon's Triumph,7.99
788,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,7.50
789,Celestia,6.96
790,Star Wars: The Card Game,7.18
791,Pandemic: Rising Tide,7.58
792,Tammany Hall,7.29
793,Friedrich,7.57
794,Libertalia: Winds of Galecrest,7.53
795,Incan Gold,6.82
796,The Mind,6.82
797,Dale of Merchants,7.18
798,Marvel Dice Masters: Avengers vs. X-Men,7.13
799,Cerebria: The Inside World,7.78
800,Spyfall,6.82
801,Tumblin-Dice,7.21
802,Unfair,7.33
803,Spyrium,7.05
804,Hyperborea,7.19
805,Carcassonne: The City,7.21
806,Tinners' Trail,7.24
807,Tajemnicze Domostwo,7.13
808,Union Pacific,7.21
809,Wizard,6.95
810,Brew Crafters,7.42
811,Morels,6.99
812,Santiago,7.12
813,Golem,7.66
814,Blue Lagoon,7.21
815,Catacombs (Third Edition),7.52
816,SpaceCorp: 2025-2300AD,7.70
817,Ca$h 'n Guns: Second Edition,6.86
818,Paris: La Cité de la Lumière,7.37
819,Rurik: Dawn of Kiev,7.83
820,Forbidden Island,6.78
821,The Palaces of Carrara,7.15
822,Letter Jam,7.23
823,Thunderstone,6.92
824,Rhino Hero,6.93
825,Container,7.15
826,San Marco,7.18
827,Hannibal & Hamilcar,8.30
828,Warhammer Underworlds: Shadespire,7.68
829,Galaxy Trucker,7.62
830,The Lost Expedition,7.06
831,Signorie,7.40
832,Virgin Queen,8.03
833,Roll Through the Ages: The Bronze Age,6.86
834,Summoner Wars: Phoenix Elves vs Tundra Orcs,7.51
835,Akrotiri,7.20
836,Last Night on Earth: The Zombie Game,6.92
837,Pictomania,7.27
838,Formula Dé,6.99
839,Disney Villainous: Perfectly Wretched,7.73
840,Battle for Rokugan,7.43
841,Homesteaders,7.20
842,The LOOP,7.80
843,Qwixx,6.87
844,Legendary: A Marvel Deck Building Game – Villains,7.55
845,Genoa,7.05
846,Red Rising,7.10
847,Creature Comforts,7.63
848,Parade,6.99
849,Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition),7.93
850,Kitchen Rush,7.28
851,Last Bastion,7.52
852,Maharaja: The Game of Palace Building in India,7.11
853,Bridge,7.45
854,Mahjong,7.04
855,Raccoon Tycoon,7.33
856,ISS Vanguard,9.07
857,Lanterns: The Harvest Festival,6.89
858,Palm Island,7.13
859,Warp's Edge,7.78
860,Wasteland Express Delivery Service,7.37
861,Railroad Ink Challenge: Lush Green Edition,7.73
862,Louis XIV,7.06
863,Heroscape Master Set: Swarm of the Marro,7.63
864,Detective Club,7.39
865,Jaws,7.18
866,The Adventures of Robin Hood,7.63
867,Thunder Alley,7.31
868,Adrenaline,7.02
869,Call to Adventure,7.15
870,Tragedy Looper,7.18
871,Core Worlds,7.16
872,Unmatched: Jurassic Park – InGen vs Raptors,8.16
873,Babylonia,7.67
874,Mind MGMT: The Psychic Espionage “Game.”,8.03
875,Werewords,7.15
876,Merchants Cove,7.60
877,Dungeons & Dragons: Wrath of Ashardalon Board Game,7.11
878,Web of Power,7.30
879,The Others,7.33
880,Summoner Wars: Guild Dwarves vs Cave Goblins,7.57
881,7 Wonders: Architects,7.05
882,Luxor,7.20
883,Coffee Roaster,7.41
884,Britannia,7.20
885,Smash Up: Science Fiction Double Feature,7.26
886,Nightmare Productions,7.05
887,Dungeons & Dragons: Castle Ravenloft Board Game,6.98
888,Zooloretto,6.81
889,Age of Industry,7.36
890,Pax Renaissance: 2nd Edition,8.61
891,Circadians: First Light,7.60
892,Lovecraft Letter,7.22
